PID,Retalhista,Nome,Marca,Marca_Padronizada,Quantidade,Formato
975490,PingoDoce,Gelado Baunilha e Noz Pecan Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
961275,PingoDoce,Gelado Tiramisu,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
970498,PingoDoce,Gelado Mini Collection Pink Lemonade,Magnum,Magnum,"0.33 L | 21,18 €/L",Sticks
908731,PingoDoce,Gelado Feast,Olá,Olá,"0.36 L | 8,31 €/L",Sticks
8798840,Continente,Tarte Gelada Cappuccino XXL Viennetta,Viennetta,Viennetta,emb. 1 lt,Cakes
657250,PingoDoce,Gelado de Morango Sem Açúcar,Pingo Doce,Pingo Doce,"0.5 L | 4,98 €/L",Pints
992711,PingoDoce,Gelado Vegan de Manga e Red Velvet,Swee,Swee,"0.24 Kg | 28,29 €/Kg",Pints
671010,PingoDoce,Gelado Super Maxi,Olá,Olá,"0.39 L | 7,67 €/L",Sticks
747546,PingoDoce,Gelado Fizz Limão,Olá,Olá,"0.36 L | 8,31 €/L",Sticks
1009025,PingoDoce,Gelado Pitaya e Maracujá 0%,Native,Native,"0.16 L | 16,25 €/L",
1008979,PingoDoce,Gelados Cookie Dough Sandwich,Ben & Jerry's,Ben & Jerry's,"0.272 L | 18,35 €/L",
970504,PingoDoce,Gelado Tiramisu Les Desserts,Carte D'Or,Carte D'Or,"0.825 L | 3,99 €/L",Tubs
975484,PingoDoce,Gelado Barra 6UN,Bounty,Bounty,"0.3 L | 12,97 €/L",Bars
956782,PingoDoce,Sorbet de Manga,Pingo Doce,Pingo Doce,"1 L | 2,99 €/L",Tubs
975489,PingoDoce,Gelado Mini Double Chocolate e Caramelo Pack 6,Magnum,Magnum,"0.33 L | 13,61 €/L",
1003935,PingoDoce,Gelados Signature Pêssego e Chocolate,Magnum,Magnum,"0.27 L | 12,19 €/L",Sticks
527533,PingoDoce,Gelado Sensações Duo Chocolate,Pingo Doce,Pingo Doce,"0.95 L | 3,04 €/L",Tubs
988839,PingoDoce,Gelado Twister Mini Ananás,Olá,Olá,"0.3 L | 13,3 €/L",
878036,PingoDoce,Gelado de Doce de Leite Mini,Häagen-Dazs,Häagen-Dazs,"0.095 L | 31,05 €/L",Pints
1002632,PingoDoce,Gelados de Chocolate Branco,Magnum,Magnum,"0.3 L | 9,97 €/L",Sticks
976508,PingoDoce,Gelado Chocolate Clássico,Magnum,Magnum,"0.3 L | 9,97 €/L",Sticks
